"from","to","type"
"Tore Hund","Tore fra Bjarkøy","familie"
"Tore Hund","Sigurd Toresson","familie"
"Tore Hund","Sigrid Toresdatter","familie"
"Tore Hund","Olav Haraldsson","fiende"
"Tore Hund","Ranveig","familie"
"Tore Hund","Kalv Arnesson","partner"
"Tore Hund","Hårek fra Tjøtta","partner"
"Tore Hund","Karle fra Langøya","fiende"
"Tore Hund","Gunnstein fra Langøya","fiende"
"Tore Hund","Finn Arnesson","fiende"
"Tore Hund","Torstein Knarresmed","partner"
"Tore Hund","Tore","familie"
"Tore Hund","Grotjard","familie"
"Tore Hund","Olve","familie"
"Tore Hund","Asbjørn Selsbane","familie"
"Tore fra Bjarkøy","Harald Grenske","partner"
"Harald Grenske","Olav Haraldsson","familie"
"Sigurd Toresson","Sigrid Skjalgsdatter","familie"
"Sigrid Skjalgsdatter","Erling Skjalgsson","familie"
"Sigurd Toresson","Asbjørn Selsbane","familie"
"Sigrid Skjalgsdatter","Asbjørn Selsbane","familie"
"Sigrid Toresdatter","Olve Grjotgardsson","familie"
"Sigrid Toresdatter","Kalv Arnesson","familie"
"Olav Haraldsson","Asbjørn Selsbane","fiende"
"Kalv Arnesson","Hårek fra Tjøtta","partner"
"Sigrid Skjalgsdatter","Sigurd Toresson","familie"
"Olav Haraldsson","Olve Grjotgardsson","fiende"
"Asbjørn Selsbane","Tore Sel","fiende"
"Erling Skjalgsson","Asbjørn Selsbane","familie"
"Åsmund Grankjellsson","Karle fra Langøya","partner"
"Åsmund Grankjellsson","Gunnstein fra Langøya","partner"
"Karle fra Langøya","Gunnstein fra Langøya","familie"
"Hårek fra Tjøtta","Kalv Arnesson","partner"
"Torstein Knarresmed","Hårek fra Tjøtta","partner"
"Torstein Knarresmed","Kalv Arnesson","partner"
