"Landshlutar","Aldur","Ár","Kyn","Mannfjöldi eftir landshlutum, kyni og aldri 1. janúar 1998-2023"
"Alls","Alls","1998","Alls",272381
"Alls","Alls","1998","Karlar",136444
"Alls","Alls","1998","Konur",135937
"Alls","Alls","1998","Kynsegin/annað",0
"Alls","Alls","1999","Alls",275712
"Alls","Alls","1999","Karlar",138086
"Alls","Alls","1999","Konur",137626
"Alls","Alls","1999","Kynsegin/annað",0
"Alls","Alls","2000","Alls",279049
"Alls","Alls","2000","Karlar",139665
"Alls","Alls","2000","Konur",139384
"Alls","Alls","2000","Kynsegin/annað",0
"Alls","Alls","2001","Alls",283361
"Alls","Alls","2001","Karlar",141870
"Alls","Alls","2001","Konur",141491
"Alls","Alls","2001","Kynsegin/annað",0
"Alls","Alls","2002","Alls",286575
"Alls","Alls","2002","Karlar",143450
"Alls","Alls","2002","Konur",143125
"Alls","Alls","2002","Kynsegin/annað",0
"Alls","Alls","2003","Alls",288471
"Alls","Alls","2003","Karlar",144287
"Alls","Alls","2003","Konur",144184
"Alls","Alls","2003","Kynsegin/annað",0
"Alls","Alls","2004","Alls",290570
"Alls","Alls","2004","Karlar",145401
"Alls","Alls","2004","Konur",145169
"Alls","Alls","2004","Kynsegin/annað",0
"Alls","Alls","2005","Alls",293577
"Alls","Alls","2005","Karlar",147170
"Alls","Alls","2005","Konur",146407
"Alls","Alls","2005","Kynsegin/annað",0
"Alls","Alls","2006","Alls",299891
"Alls","Alls","2006","Karlar",151202
"Alls","Alls","2006","Konur",148689
"Alls","Alls","2006","Kynsegin/annað",0
"Alls","Alls","2007","Alls",307672
"Alls","Alls","2007","Karlar",156576
"Alls","Alls","2007","Konur",151096
"Alls","Alls","2007","Kynsegin/annað",0
"Alls","Alls","2008","Alls",315459
"Alls","Alls","2008","Karlar",160896
"Alls","Alls","2008","Konur",154563
"Alls","Alls","2008","Kynsegin/annað",0
"Alls","Alls","2009","Alls",319368
"Alls","Alls","2009","Karlar",162068
"Alls","Alls","2009","Konur",157300
"Alls","Alls","2009","Kynsegin/annað",0
"Alls","Alls","2010","Alls",317630
"Alls","Alls","2010","Karlar",159936
"Alls","Alls","2010","Konur",157694
"Alls","Alls","2010","Kynsegin/annað",0
"Alls","Alls","2011","Alls",318452
"Alls","Alls","2011","Karlar",160006
"Alls","Alls","2011","Konur",158446
"Alls","Alls","2011","Kynsegin/annað",0
"Alls","Alls","2012","Alls",319575
"Alls","Alls","2012","Karlar",160364
"Alls","Alls","2012","Konur",159211
"Alls","Alls","2012","Kynsegin/annað",0
"Alls","Alls","2013","Alls",321857
"Alls","Alls","2013","Karlar",161438
"Alls","Alls","2013","Konur",160419
"Alls","Alls","2013","Kynsegin/annað",0
"Alls","Alls","2014","Alls",325671
"Alls","Alls","2014","Karlar",163318
"Alls","Alls","2014","Konur",162353
"Alls","Alls","2014","Kynsegin/annað",0
"Alls","Alls","2015","Alls",329100
"Alls","Alls","2015","Karlar",165186
"Alls","Alls","2015","Konur",163914
"Alls","Alls","2015","Kynsegin/annað",0
"Alls","Alls","2016","Alls",332529
"Alls","Alls","2016","Karlar",167270
"Alls","Alls","2016","Konur",165259
"Alls","Alls","2016","Kynsegin/annað",0
"Alls","Alls","2017","Alls",338349
"Alls","Alls","2017","Karlar",171033
"Alls","Alls","2017","Konur",167316
"Alls","Alls","2017","Kynsegin/annað",0
"Alls","Alls","2018","Alls",348450
"Alls","Alls","2018","Karlar",177600
"Alls","Alls","2018","Konur",170850
"Alls","Alls","2018","Kynsegin/annað",0
"Alls","Alls","2019","Alls",356991
"Alls","Alls","2019","Karlar",182837
"Alls","Alls","2019","Konur",174154
"Alls","Alls","2019","Kynsegin/annað",0
"Alls","Alls","2020","Alls",364134
"Alls","Alls","2020","Karlar",186941
"Alls","Alls","2020","Konur",177193
"Alls","Alls","2020","Kynsegin/annað",0
"Alls","Alls","2021","Alls",368792
"Alls","Alls","2021","Karlar",189043
"Alls","Alls","2021","Konur",179749
"Alls","Alls","2021","Kynsegin/annað",0
"Alls","Alls","2022","Alls",376248
"Alls","Alls","2022","Karlar",193055
"Alls","Alls","2022","Konur",183120
"Alls","Alls","2022","Kynsegin/annað",73
"Alls","Alls","2023","Alls",387758
"Alls","Alls","2023","Karlar",199826
"Alls","Alls","2023","Konur",187800
"Alls","Alls","2023","Kynsegin/annað",132
"Höfuðborgarsvæði","Alls","1998","Alls",164606
"Höfuðborgarsvæði","Alls","1998","Karlar",81077
"Höfuðborgarsvæði","Alls","1998","Konur",83529
"Höfuðborgarsvæði","Alls","1998","Kynsegin/annað",0
"Höfuðborgarsvæði","Alls","1999","Alls",168344
"Höfuðborgarsvæði","Alls","1999","Karlar",82976
"Höfuðborgarsvæði","Alls","1999","Konur",85368
"Höfuðborgarsvæði","Alls","1999","Kynsegin/annað",0
"Höfuðborgarsvæði","Alls","2000","Alls",171792
"Höfuðborgarsvæði","Alls","2000","Karlar",84653
"Höfuðborgarsvæði","Alls","2000","Konur",87139
"Höfuðborgarsvæði","Alls","2000","Kynsegin/annað",0
"Höfuðborgarsvæði","Alls","2001","Alls",175427
"Höfuðborgarsvæði","Alls","2001","Karlar",86497
"Höfuðborgarsvæði","Alls","2001","Konur",88930
"Höfuðborgarsvæði","Alls","2001","Kynsegin/annað",0
"Höfuðborgarsvæði","Alls","2002","Alls",178301
"Höfuðborgarsvæði","Alls","2002","Karlar",87924
"Höfuðborgarsvæði","Alls","2002","Konur",90377
"Höfuðborgarsvæði","Alls","2002","Kynsegin/annað",0
"Höfuðborgarsvæði","Alls","2003","Alls",179992
"Höfuðborgarsvæði","Alls","2003","Karlar",88719
"Höfuðborgarsvæði","Alls","2003","Konur",91273
"Höfuðborgarsvæði","Alls","2003","Kynsegin/annað",0
"Höfuðborgarsvæði","Alls","2004","Alls",181917
"Höfuðborgarsvæði","Alls","2004","Karlar",89748
"Höfuðborgarsvæði","Alls","2004","Konur",92169
"Höfuðborgarsvæði","Alls","2004","Kynsegin/annað",0
"Höfuðborgarsvæði","Alls","2005","Alls",184244
"Höfuðborgarsvæði","Alls","2005","Karlar",90963
"Höfuðborgarsvæði","Alls","2005","Konur",93281
"Höfuðborgarsvæði","Alls","2005","Kynsegin/annað",0
"Höfuðborgarsvæði","Alls","2006","Alls",187426
"Höfuðborgarsvæði","Alls","2006","Karlar",92807
"Höfuðborgarsvæði","Alls","2006","Konur",94619
"Höfuðborgarsvæði","Alls","2006","Kynsegin/annað",0
"Höfuðborgarsvæði","Alls","2007","Alls",191919
"Höfuðborgarsvæði","Alls","2007","Karlar",95591
"Höfuðborgarsvæði","Alls","2007","Konur",96328
"Höfuðborgarsvæði","Alls","2007","Kynsegin/annað",0
"Höfuðborgarsvæði","Alls","2008","Alls",197945
"Höfuðborgarsvæði","Alls","2008","Karlar",99499
"Höfuðborgarsvæði","Alls","2008","Konur",98446
"Höfuðborgarsvæði","Alls","2008","Kynsegin/annað",0
"Höfuðborgarsvæði","Alls","2009","Alls",201251
"Höfuðborgarsvæði","Alls","2009","Karlar",100991
"Höfuðborgarsvæði","Alls","2009","Konur",100260
"Höfuðborgarsvæði","Alls","2009","Kynsegin/annað",0
"Höfuðborgarsvæði","Alls","2010","Alls",200907
"Höfuðborgarsvæði","Alls","2010","Karlar",99993
"Höfuðborgarsvæði","Alls","2010","Konur",100914
"Höfuðborgarsvæði","Alls","2010","Kynsegin/annað",0
"Höfuðborgarsvæði","Alls","2011","Alls",202341
"Höfuðborgarsvæði","Alls","2011","Karlar",100538
"Höfuðborgarsvæði","Alls","2011","Konur",101803
"Höfuðborgarsvæði","Alls","2011","Kynsegin/annað",0
"Höfuðborgarsvæði","Alls","2012","Alls",203594
"Höfuðborgarsvæði","Alls","2012","Karlar",101092
"Höfuðborgarsvæði","Alls","2012","Konur",102502
"Höfuðborgarsvæði","Alls","2012","Kynsegin/annað",0
"Höfuðborgarsvæði","Alls","2013","Alls",205675
"Höfuðborgarsvæði","Alls","2013","Karlar",102063
"Höfuðborgarsvæði","Alls","2013","Konur",103612
"Höfuðborgarsvæði","Alls","2013","Kynsegin/annað",0
"Höfuðborgarsvæði","Alls","2014","Alls",208752
"Höfuðborgarsvæði","Alls","2014","Karlar",103593
