  Nr    Dags.    Timi      Breidd     Lengd   Dypi   M     ML
   1 20220905 000527.195 66.53447 -18.89888  5.632  1.13  1.18
   2 20220905 001239.750 66.62453 -17.93015  7.511  1.33  1.18
   3 20220905 002206.783 63.86661 -22.44638  2.447 -0.16 -1.16
   4 20220905 010858.618 66.22826 -18.54552  8.048  0.77  0.89
   5 20220905 013825.210 63.88831 -22.35872  6.238  0.70 -0.34
   6 20220905 015804.344 63.79697 -22.71985  4.627  0.29 -0.42
   7 20220905 020237.161 63.84842 -22.61167  4.634  0.35 -1.11
   8 20220905 020736.243 63.85569 -22.58797  5.014  0.77  0.03
   9 20220905 021206.350 63.78613 -22.73595  5.915  0.35 -0.56
  10 20220905 022400.432 63.89684 -22.24999  4.934  0.52 -0.51
  11 20220905 022618.756 66.54944 -18.91371 11.458  1.28  1.83
  12 20220905 023914.124 63.81546 -22.59777  3.413  0.44 -0.81
  13 20220905 025011.791 63.85685 -22.61759  6.123  0.23 -1.40
  14 20220905 025411.270 63.88507 -22.25356  4.974  0.48 -0.39
  15 20220905 025444.510 63.92746 -22.19584  2.604  0.26 -0.55
  16 20220905 031104.206 63.89552 -22.25287  5.627  0.53 -0.37
  17 20220905 034638.168 63.88530 -22.37957  4.636  0.68 -0.14
  18 20220905 042924.705 66.54056 -17.61556 10.005  2.05  2.06
  19 20220905 044744.384 63.98567 -16.57867  0.135  0.14  0.00
  20 20220905 052332.267 66.25441 -18.55953  7.994  1.10  1.24
  21 20220905 052830.024 65.11047 -16.78962  5.079  0.87  0.69
  22 20220905 062838.746 63.93502 -22.23221  4.202  0.77 -0.51
  23 20220905 070434.737 65.69947 -16.74882  2.208  0.56  0.20
  24 20220905 071125.136 63.91293 -22.24177  6.225  0.67 -0.30
  25 20220905 071355.538 63.91579 -22.23756  6.226  0.60 -0.50
  26 20220905 075845.123 66.22129 -17.85090 10.308  0.85  1.27
  27 20220905 085519.246 63.84963 -22.56070  4.595  0.38 -1.26
  28 20220905 090443.317 63.99343 -21.69690  6.531  0.60  0.53
  29 20220905 093556.215 65.15050 -16.31559  4.376  0.79  1.15
  30 20220905 093623.199 66.53136 -17.91767  2.316  1.02  1.51
